factor,target,group,mean,median,std,count,win_rate,monotonic,spread
close_pos,hold_ret,Q3,0.0038201010239987095,-0.01976744186046511,0.11030596383495013,21285,0.34789758045572,False,0.012843131714250874
close_pos,hold_ret,Q4,0.0061421120992213385,-0.019002375296912132,0.10897490712474471,21339,0.35573363325366697,False,0.012843131714250874
close_pos,hold_ret,Q5,0.016663232738249583,-0.01793339026473107,0.1595636237960906,21223,0.39028412571267024,False,0.012843131714250874
close_pos,ret_5,Q1,0.002916648318370823,-0.0056630498690469,0.08894816448376884,21288,0.44771702367531,False,0.013971535910838684
close_pos,ret_5,Q2,0.00048213375305586695,-0.0049330514446793,0.07912042130213383,21289,0.4517356381229743,False,0.013971535910838684
close_pos,ret_5,Q3,0.001101136442903001,-0.004250797024442,0.07732224568417718,21291,0.4572354515992673,False,0.013971535910838684
close_pos,ret_5,Q4,0.005040804645122207,-0.0014179413562375,0.07915260745440894,21350,0.48098360655737704,False,0.013971535910838684
close_pos,ret_5,Q5,0.014453669663894551,-0.0016515287892425001,0.11282040377326724,21222,0.48463858260295917,False,0.013971535910838684
close_pos,ret_10,Q1,0.00647655358991281,-0.0034512510785158,0.1201769661547857,21219,0.4764126490409539,False,0.007671112769556193
close_pos,ret_10,Q2,0.005938942971953802,-0.00219328509008095,0.11154656254285915,21222,0.4819526906040901,False,0.007671112769556193
close_pos,ret_10,Q3,0.007048241176350164,-0.0010593220338982,0.10603227052036436,21215,0.490879094979967,False,0.007671112769556193
close_pos,ret_10,Q4,0.00976618185612737,0.00220022268480415,0.10299681405747402,21302,0.5120645948737208,False,0.007671112769556193
close_pos,ret_10,Q5,0.013610055741509995,0.0,0.13960027600735925,21132,0.4997160704145372,False,0.007671112769556193
close_pos,ret_20,Q1,0.019239978626843242,0.0023631350925561,0.16553922203484764,21057,0.5061024837346251,False,0.00906987709735973
close_pos,ret_20,Q2,0.016296822085774806,0.0029411764705882,0.15511873007500576,21053,0.5098560775186434,False,0.00906987709735973
close_pos,ret_20,Q3,0.015534832541834015,0.0020292328116403,0.14735551075086972,21056,0.5064589665653495,False,0.00906987709735973
