dsa_confirmed_pos_max,dsa_trade_width_pct_max,bars_since_dir_change_max,w_dsa_signed_vwap_dev_min,weekly_mode,weekly_prev_down_range,trigger_type,n,ret_20,mae_20,wr_20,rr_20,quality_score,rank_score
0.38,0.35,6,-2.3,soft,none,expand_or_break,23,0.04872,-0.03781,0.7826,1.289,0.6187,187.518
0.38,0.35,6,-2.3,strict,none,expand_or_break,22,0.04869,-0.03861,0.7727,1.261,0.6165,183.467
0.38,0.28,9,-1.6,soft,none,expand_or_break,17,0.03934,-0.03211,0.8235,1.225,0.6272,178.493
0.38,0.28,9,-1.0,soft,none,expand_or_break,17,0.03934,-0.03211,0.8235,1.225,0.6272,178.493
0.38,0.28,12,-1.6,soft,none,expand_or_break,17,0.03934,-0.03211,0.8235,1.225,0.6272,178.493
0.38,0.28,12,-1.0,soft,none,expand_or_break,17,0.03934,-0.03211,0.8235,1.225,0.6272,178.493
0.38,0.28,9,-1.6,strict,none,expand_or_break,16,0.03871,-0.03285,0.8125,1.178,0.6246,171.768
0.38,0.28,9,-1.0,strict,none,expand_or_break,16,0.03871,-0.03285,0.8125,1.178,0.6246,171.768
0.38,0.28,12,-1.6,strict,none,expand_or_break,16,0.03871,-0.03285,0.8125,1.178,0.6246,171.768
0.38,0.28,12,-1.0,strict,none,expand_or_break,16,0.03871,-0.03285,0.8125,1.178,0.6246,171.768
0.38,0.28,6,-1.6,soft,none,expand_or_break,16,0.03988,-0.03399,0.8125,1.173,0.6313,171.076
0.38,0.28,6,-1.0,soft,none,expand_or_break,16,0.03988,-0.03399,0.8125,1.173,0.6313,171.076
0.38,0.28,9,-2.3,soft,none,expand_or_break,18,0.03663,-0.03189,0.7778,1.148,0.6262,167.451
0.38,0.28,12,-2.3,soft,none,expand_or_break,18,0.03663,-0.03189,0.7778,1.148,0.6262,167.451
0.38,0.28,6,-1.6,strict,none,expand_or_break,15,0.03924,-0.03491,0.8,1.124,0.6289,164.058
0.38,0.28,6,-1.0,strict,none,expand_or_break,15,0.03924,-0.03491,0.8,1.124,0.6289,164.058
0.38,0.28,9,-2.3,strict,none,expand_or_break,17,0.03587,-0.03258,0.7647,1.101,0.6237,160.712
0.38,0.28,12,-2.3,strict,none,expand_or_break,17,0.03587,-0.03258,0.7647,1.101,0.6237,160.712
0.38,0.28,6,-2.3,soft,none,expand_or_break,17,0.03698,-0.03366,0.7647,1.099,0.63,160.44
0.38,0.28,6,-2.3,strict,none,expand_or_break,16,0.0362,-0.0345,0.75,1.049,0.6277,153.268
